task_run__finish_time,DistributionOfEffort,PublicContribution,ProjectAppeal,SustainedEngagement
2014-04-28,1.0,1.0,1.0,0.0
2014-05-05,1.0,416.50000000000006,12.250000000000002,0.005357001238425927
2014-05-12,0.32978723404255317,1.1597633136094674,2.029585798816568,8.226285557747096e-05
2014-05-19,0.6222222222222222,6.108033240997229,0.2714681440443213,0.2884770699406387
2014-05-26,0.450328227571116,6.5625,0.3125,0.0001674227982390873
2014-06-02,0.3943089430894309,2.44,0.2,0.04055270330238095
2014-06-09,0.32606060606060605,0.5555555555555556,0.3055555555555556,0.015985922094080687
2014-06-16,0.27145098039215687,1.0,0.20408163265306123,0.010949264544646233
2014-06-23,0.35084033613445376,0.08721965112139551,0.12210751156995373,0.04055652237560652
2014-06-30,0.38690476190476186,0.1728395061728395,0.07407407407407407,0.06751536328290343
2014-07-07,0.5277777777777778,0.18525519848771266,0.020583910943079185,0.08529676248313116
2014-07-14,0.10808456266697641,0.15289256198347106,0.34710743801652894,3.885246642561984e-06
2014-07-21,0.1699886909810574,0.1597222222222222,0.125,0.002958116200689622
2014-07-28,0.18400108260807047,0.11242603550295859,0.15976331360946747,1.1877289866472557e-05
2014-08-04,0.31831148665727804,0.11734693877551021,0.08673469387755102,0.00677209075827057
2014-08-11,0.581602176942988,0.30806213017751477,0.05889423076923077,0.007982903727344092
2014-08-18,0.08819031236561237,0.1015625,0.78125,3.256462941649099e-06
2014-08-25,0.0843616689587916,0.07612456747404844,4.557093425605537,3.1820165321030374e-06
2014-09-01,0.09094704068532422,0.11419753086419752,0.5802469135802469,3.1742350014186914e-05
2014-09-08,0.1054556839314772,0.08033240997229917,1.3822714681440442,3.54027521746618e-06
2014-09-15,0.13108301058722083,0.15125,0.42,0.000388318273848793
2014-09-22,0.1740908151679299,0.24036281179138322,0.16780045351473924,0.004195432512260195
2014-09-29,0.2332504070065553,0.4359504132231405,0.1012396694214876,0.008254486338551232
2014-10-06,0.196547890083126,0.06427221172022685,0.09640831758034027,0.006375982424810714
2014-10-13,0.2578942270437815,0.1545138888888889,0.041666666666666664,0.012184067711585672
2014-10-20,0.2472378152009267,0.1784,0.0288,0.013669318784996031
2014-10-27,0.16862598532209838,0.03254437869822485,0.07100591715976332,1.0622787302174322e-06
2014-11-03,0.3209612534406098,0.17695473251028807,0.013717421124828532,0.014227788672756722
2014-11-10,0.17132960298427924,0.011479591836734694,0.03443877551020408,2.0402446457253537e-07
2014-11-17,0.2503461918892186,0.041617122473246136,0.011890606420927468,0.01663324933883962
2014-11-24,0.35223577235772363,0.019444444444444445,0.008888888888888889,0.01646380663565274
2014-12-01,0.2826433430515063,0.031217481789802288,0.015608740894901144,0.005200073501397423
2014-12-08,0.15061664953751286,0.03271484375,0.013671875,0.012721326022015929
2014-12-15,0.332201358369956,0.0780532598714417,0.012855831037649219,0.01469351498792792
2014-12-22,0.1009186283208936,0.01384083044982699,0.019896193771626297,2.849887002595156e-06
2014-12-29,0.2738728502814647,0.015510204081632653,0.013877551020408163,0.009870622832487042
2015-01-05,0.18287452623179734,0.017361111111111112,0.013888888888888888,2.475686821528594e-06
2015-01-12,0.2253346018292287,0.046384222059897735,0.010226442658875092,0.0001074108632691572
2015-01-19,0.17567771734438398,0.011772853185595568,0.027008310249307478,2.767411080698823e-07
2015-01-26,0.22967105573646707,0.015121630506245891,0.009204470742932281,2.9674316192572072e-05
2015-02-02,0.21858866857387127,0.014375,0.045,0.0018127204686172083
2015-02-09,0.24306366166831284,0.013087447947650209,0.02082093991671624,9.933078560097447e-07
2015-02-16,0.30981140547822184,0.007653061224489796,0.01927437641723356,2.873484441175059e-06
2015-02-23,0.45557362507392074,0.029204975662520283,0.010275824770146024,7.10595702202821e-07
2015-03-02,0.2072874493927126,0.005681818181818182,0.00981404958677686,0.0011671040819039968
2015-03-09,0.26337880377754463,0.008395061728395062,0.005432098765432099,1.8381566635639167e-06
2015-03-16,0.41385494899674924,0.02930056710775047,0.005198487712665407,0.012641547528425714
2015-03-23,0.3018876018876019,0.009280217292892712,0.006337709370755998,0.007312111410425889
2015-03-30,0.2833460851823515,0.03125,0.00390625,4.899447210223306e-07
2015-04-06,0.35169946332737034,0.013536026655560184,0.004164931278633903,0.007446101060891255
2015-04-13,0.3252179918846585,0.0088,0.0052,0.0002268115567070106
2015-04-20,0.3167647427068987,0.07766243752402922,0.002691272587466359,3.135421140869202e-05
2015-04-27,0.34577756764620304,0.022189349112426034,0.005917159763313609,0.00032611261286159197
2015-05-04,0.33144375553587246,0.007831968672125312,0.00533997864008544,2.1069641002983607e-06
2015-05-11,0.26400206958996253,0.013031550068587106,0.0030864197530864196,0.004197065208295343
2015-05-18,0.23250201126307324,0.011239669421487603,0.005619834710743801,1.8891005400323582e-07
2015-05-25,0.29122125040492386,0.005739795918367347,0.004464285714285714,0.012427493094634662
2015-06-01,0.2177526595744681,0.001692828562634657,0.0024622960911049553,0.008542376469389594
2015-06-08,0.317921146953405,0.00535077288941736,0.00267538644470868,0.0006622649858686002
2015-06-15,0.32082593250444047,0.004165469692617064,0.002298190175237001,0.012631147993082771
2015-06-22,0.500587084148728,0.015,0.0019444444444444444,0.011840212531487452
2015-06-29,0.33333333333333337,0.0008062348830959419,0.002418704649287826,0.005841087404803052
2015-07-06,0.2096588289534348,0.0037895556539316974,0.0031361839894607155,0.00294760240884706
2015-07-13,0.3861273861273862,0.027966742252456538,0.002771478961955152,0.011519100447133855
2015-07-20,0.4616890380313199,0.0618896484375,0.001953125,0.006098090262370841
2015-07-27,0.3846092248558616,0.02603550295857988,0.001893491124260355,0.011423488686034213
2015-08-03,0.2316533409480297,0.0033287419651056014,0.0018365472910927456,0.010845961024529886
2015-08-10,0.3458491761723701,0.006905769659166852,0.0017821341055914458,2.0316244897874995e-07
2015-08-17,0.20706639718541808,0.032655709342560554,0.0032439446366782005,4.321442031724863e-06
2015-08-24,0.2953083853083853,0.021214030665826507,0.00630119722747322,0.0044006248046543775
2015-08-31,0.23335852859662387,0.006530612244897959,0.003673469387755102,0.0003142209130061548
2015-09-07,0.30331011816261055,0.007538186867684983,0.002578853402102757,0.00020433503546251426
2015-09-14,0.26868397670056277,0.003472222222222222,0.002700617283950617,0.0004680332551030797
2015-09-21,0.4385895053535085,0.058453743666729216,0.001125914805779696,0.0012383793602381919
2015-09-28,0.3204571428571429,0.01095690284879474,0.002556610664718773,7.7722234088577e-07
2015-10-05,0.3200832951429927,0.017066666666666667,0.005866666666666667,0.010158420019888889
2015-10-12,0.2796898222940226,0.010041551246537396,0.00432825484764543,6.0094171519350275e-05
2015-10-19,0.37156087922943937,0.01695058188564682,0.0033732501264968798,0.0015515005180043039
2015-10-26,0.3689868188077907,0.015779092702169626,0.003780407626561473,0.0004918799210211035
2015-11-02,0.3952049780380673,0.01802595737862522,0.0025636917160711424,0.0012237377779301135
2015-11-09,0.3741046831955923,0.0128125,0.00234375,0.002343347843159154
2015-11-16,0.19886545222115692,0.002895900015241579,0.002133821063862216,2.1333383697578848e-07
2015-11-23,0.3056676152651385,0.008774538964901844,0.002528256989886972,0.0017867500636197845
2015-11-30,0.35391549907678943,0.022789955000725795,0.0015967484395412977,0.0026876198138874106
2015-12-07,0.3800593842787936,0.005688265630396233,0.0012798597668391525,0.002762631630686599
2015-12-14,0.3866525423728814,0.006643598615916955,0.0022145328719723185,0.00046718151423182016
2015-12-21,0.44077618288144604,0.03819632233639805,0.0008112493239588967,0.006364822973622012
2015-12-28,0.42555483731954324,0.029065926806711585,0.0009248249438499141,0.009653999757234327
2016-01-04,0.3602269923513447,0.003615702479338843,0.0009039256198347108,0.0030637653286180425
2016-01-11,0.4224693319212779,0.01148844842822876,0.0011362201742204268,0.009129649652378873
2016-01-18,0.32350613375544124,0.01839506172839506,0.0017283950617283952,0.0013742374502983335
2016-01-25,0.22612139917695473,0.011265871603180254,0.0019382144693643447,0.0034339707805520147
2016-02-01,0.2913065582104728,0.006084593572778828,0.0011814744801512287,0.00015747932764959718
2016-02-08,0.38659173022882376,0.009827725748641462,0.0012718233321771303,3.695782747615561e-05
2016-02-15,0.4908071748878924,0.024558623811679493,0.0011317338162064282,0.000818971667594621
2016-02-22,0.36296296296296293,0.006537396121883657,0.0016620498614958448,7.922495199988275e-08
2016-02-29,0.40692980488898856,0.007649739583333333,0.0015190972222222222,0.00024347569563419944
2016-03-07,0.33229386632617985,0.005260920395366139,0.0014879370815176957,0.00013100634622799725
2016-03-14,0.24044088958252052,0.010360266555601832,0.0012494793835901709,4.439583257539229e-05
2016-03-21,0.1432452010141253,0.0017345168860320376,0.001122334455667789,8.067497618447043e-06
2016-03-28,0.17318738702550718,0.00275,0.001,3.3141876818783075e-08
2016-04-04,0.18894382751074001,0.003921184197627684,0.0012743848642289971,1.2748861029873614e-06
2016-04-11,0.2084324775620956,0.004709727028066129,0.0014417531718569781,1.1841228784996206e-05
2016-04-18,0.23527002427184462,0.005325666886605712,0.0018851918182675087,2.1849900391551348e-07
2016-04-25,0.24980124026077277,0.007119082840236686,0.0010170118343195266,0.00015831690984436514
2016-05-02,0.2845300834431269,0.008979591836734694,0.000997732426303855,0.00014530633844332265
2016-05-09,0.41204327413757913,0.002402990388038448,0.00133499466002136,7.413315837280633e-06
2016-05-16,0.2635593220338983,0.0031443794217835617,0.001048126473927854,1.178371813306169e-06
2016-05-23,0.35668202764976964,0.0015432098765432098,0.0006001371742112483,2.9610512448196773e-08
2016-05-30,0.358603066439523,0.0016833599865331201,0.0008416799932665601,1.8701134491528425e-06
2016-06-06,0.32513661202185795,0.00024793388429752067,0.0004958677685950413,0.005325595927827655
2016-06-13,0.23600973236009737,0.00032464897329762194,0.0005681357032708384,1.0861768165634532e-08
2016-06-20,0.36866444691083977,0.004384566326530612,0.0016741071428571428,0.006869786387397314
2016-06-27,0.3202353202353202,0.001727287293702932,0.0007066175292421086,0.0004610404223206973
2016-07-04,0.3161304253940833,0.002770083102493075,0.0008464142813173285,4.918589334213131e-07
2016-07-11,0.4627720504009164,0.004385633270321361,0.0006805293005671078,0.001321090724520659
2016-07-18,0.3568773234200744,0.0011519024970273483,0.00044589774078478004,0.0034614377502567278
2016-07-25,0.2584362139917695,0.0022701322923703226,0.0010984511092114466,9.655888113427794e-08
2016-08-01,0.4384635149023638,0.004740017236426314,0.0005745475438092502,4.9858972588724275e-08
2016-08-08,0.29110184219673274,0.0037870689256656806,0.0004247180103550296,4.050196053034481e-08
2016-08-15,0.30666054671562626,0.0065625,0.0005555555555555556,0.0010391123505284691
2016-08-22,0.3108562691131499,0.009118229629123694,0.0006830134553650707,7.142371617016738e-06
2016-08-29,0.3847551342812007,0.003695243214189734,0.0008062348830959419,0.00018249869610170505
2016-09-05,0.24938271604938267,0.0007270804415361227,0.00099147332936744,4.548033079537144e-08
2016-09-12,0.49619611158072696,0.0009126114656460317,0.00045630573282301587,9.265913417613164e-08
2016-09-19,0.3211926961926962,0.001312,0.000512,7.274209761904761e-08
2016-09-26,0.24598032157427407,0.0015747039556563366,0.0005668934240362812,5.988489132793035e-08
2016-10-03,0.2706340197827144,0.00093000186000372,0.000434000868001736,3.6899593074979805e-08
2016-10-10,0.5571041424699961,0.00628662109375,0.00042724609375,1.627131587972086e-05
2016-10-17,0.4054680259499537,0.0036355988221861667,0.0006009254251547383,4.483510933822213e-06
2016-10-24,0.32540173053152044,0.0021597633136094673,0.00023668639053254438,3.0209551676773188e-05
2016-10-31,0.2850935828877005,0.000815803274867432,0.0006409882873958394,7.771509527416816e-09
2016-11-07,0.37198375596165656,0.0015208907254361799,0.0014921946740128558,8.789430561970413e-08
2016-11-14,0.3403361344537815,0.001187178472497032,0.0006783876985697326,2.1889744477518838e-07
2016-11-21,0.38916314756438475,0.0016150590331922476,0.0009467587435954555,8.983218421337992e-08
2016-11-28,0.3373056994818653,0.0008230452674897119,0.0005486968449931413,7.641602797192646e-09
2016-12-05,0.5158706166868199,0.004217128027681661,0.00043252595155709344,0.0002626308000976956
2016-12-12,0.4941338854382332,0.0013852629335606586,0.0003729554051894081,0.0002587999322464347
2016-12-19,0.45833333333333337,0.0006826296996429322,0.0004200798151648813,1.8110655304021653e-08
2016-12-26,0.5433333333333333,0.0007290891699436708,0.00031246678711871603,0.0034064720252416102
2017-01-02,0.5722222222222222,0.0005612244897959184,0.00025510204081632655,3.274917125580391e-08
2017-01-09,0.7436363636363637,0.0069161510990392834,0.0001005985614405714,0.003516763000405821
2017-01-16,0.3154864709268854,0.0004959333465582226,0.00044634001190240033,2.1738396934161042e-06
2017-01-23,0.42875064150082687,0.0026896180742334587,0.0009291407892806494,8.107248036944278e-06
2017-01-30,0.3533613445378151,0.002652391975308642,0.00048225308641975306,1.588356405052979e-06
2017-02-06,0.3215454545454546,0.001426872770511296,0.00038049940546967895,5.008578655708749e-05
2017-02-13,0.5582329317269077,0.0020641771439294425,0.000140739350722462,9.742446134930068e-08
2017-02-20,0.18964174454828664,0.00043963163496691196,0.0003702161136563469,1.1801302515841306e-08
2017-02-27,0.3517985611510791,0.00031957633308984663,0.0004565376186997809,2.5797325778058462e-08
2017-03-06,0.3101149425287356,0.0005855592090446376,0.0004504301608035674,3.869557797488268e-08
2017-03-13,0.42021720969089393,0.0017777777777777779,0.0004,3.6216843547912995e-08
2017-03-20,0.40726577437858513,0.004736634358142187,0.00013157317661506075,0.0009133020378373245
2017-03-27,0.2310475417596537,0.000887292243767313,0.0007790858725761773,2.4287507706125695e-08
2017-04-03,0.18040367431106663,0.00012815583749839805,0.0005553419624930582,2.169681494602198e-07
2017-04-10,1.0,0.0008543722499893203,4.2718612499466016e-05,0.006489074979801825
